INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-07-01T15:00:00-00:00,2024-07-01T16:00:00-00:00,0,2024-07-01,9,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1147,ACTUAL,1
2024-07-01T23:00:00-00:00,2024-07-02T00:00:00-00:00,0,2024-07-01,17,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1370,ACTUAL,1
2024-07-01T10:00:00-00:00,2024-07-01T11:00:00-00:00,0,2024-07-01,4,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,815,ACTUAL,1
2024-07-01T13:00:00-00:00,2024-07-01T14:00:00-00:00,0,2024-07-01,7,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1002,ACTUAL,1
2024-07-01T17:00:00-00:00,2024-07-01T18:00:00-00:00,0,2024-07-01,11,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1231,ACTUAL,1
2024-07-01T14:00:00-00:00,2024-07-01T15:00:00-00:00,0,2024-07-01,8,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1089,ACTUAL,1
2024-07-02T00:00:00-00:00,2024-07-02T01:00:00-00:00,0,2024-07-01,18,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1383,ACTUAL,1
2024-07-02T03:00:00-00:00,2024-07-02T04:00:00-00:00,0,2024-07-01,21,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1261,ACTUAL,1
2024-07-02T06:00:00-00:00,2024-07-02T07:00:00-00:00,0,2024-07-01,24,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1004,ACTUAL,1
2024-07-01T07:00:00-00:00,2024-07-01T08:00:00-00:00,0,2024-07-01,1,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,885,ACTUAL,1
2024-07-01T12:00:00-00:00,2024-07-01T13:00:00-00:00,0,2024-07-01,6,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,897,ACTUAL,1
2024-07-01T18:00:00-00:00,2024-07-01T19:00:00-00:00,0,2024-07-01,12,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1274,ACTUAL,1
2024-07-01T22:00:00-00:00,2024-07-01T23:00:00-00:00,0,2024-07-01,16,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1357,ACTUAL,1
2024-07-02T02:00:00-00:00,2024-07-02T03:00:00-00:00,0,2024-07-01,20,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1320,ACTUAL,1
2024-07-01T09:00:00-00:00,2024-07-01T10:00:00-00:00,0,2024-07-01,3,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,819,ACTUAL,1
2024-07-01T11:00:00-00:00,2024-07-01T12:00:00-00:00,0,2024-07-01,5,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,838,ACTUAL,1
2024-07-01T16:00:00-00:00,2024-07-01T17:00:00-00:00,0,2024-07-01,10,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1192,ACTUAL,1
2024-07-01T19:00:00-00:00,2024-07-01T20:00:00-00:00,0,2024-07-01,13,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1314,ACTUAL,1
2024-07-01T21:00:00-00:00,2024-07-01T22:00:00-00:00,0,2024-07-01,15,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1353,ACTUAL,1
2024-07-02T04:00:00-00:00,2024-07-02T05:00:00-00:00,0,2024-07-01,22,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1210,ACTUAL,1
2024-07-01T20:00:00-00:00,2024-07-01T21:00:00-00:00,0,2024-07-01,14,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1334,ACTUAL,1
2024-07-02T01:00:00-00:00,2024-07-02T02:00:00-00:00,0,2024-07-01,19,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1368,ACTUAL,1
2024-07-02T05:00:00-00:00,2024-07-02T06:00:00-00:00,0,2024-07-01,23,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1110,ACTUAL,1
2024-07-01T08:00:00-00:00,2024-07-01T09:00:00-00:00,0,2024-07-01,2,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,843,ACTUAL,1
2024-07-01T18:00:00-00:00,2024-07-01T19:00:00-00:00,0,2024-07-01,12,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T20:00:00-00:00,2024-07-01T21:00:00-00:00,0,2024-07-01,14,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-02T06:00:00-00:00,2024-07-02T07:00:00-00:00,0,2024-07-01,24,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T10:00:00-00:00,2024-07-01T11:00:00-00:00,0,2024-07-01,4,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-02T01:00:00-00:00,2024-07-02T02:00:00-00:00,0,2024-07-01,19,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-02T03:00:00-00:00,2024-07-02T04:00:00-00:00,0,2024-07-01,21,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-02T04:00:00-00:00,2024-07-02T05:00:00-00:00,0,2024-07-01,22,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T12:00:00-00:00,2024-07-01T13:00:00-00:00,0,2024-07-01,6,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T17:00:00-00:00,2024-07-01T18:00:00-00:00,0,2024-07-01,11,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T23:00:00-00:00,2024-07-02T00:00:00-00:00,0,2024-07-01,17,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T09:00:00-00:00,2024-07-01T10:00:00-00:00,0,2024-07-01,3,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T15:00:00-00:00,2024-07-01T16:00:00-00:00,0,2024-07-01,9,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T19:00:00-00:00,2024-07-01T20:00:00-00:00,0,2024-07-01,13,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-02T05:00:00-00:00,2024-07-02T06:00:00-00:00,0,2024-07-01,23,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T07:00:00-00:00,2024-07-01T08:00:00-00:00,0,2024-07-01,1,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T11:00:00-00:00,2024-07-01T12:00:00-00:00,0,2024-07-01,5,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T16:00:00-00:00,2024-07-01T17:00:00-00:00,0,2024-07-01,10,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T13:00:00-00:00,2024-07-01T14:00:00-00:00,0,2024-07-01,7,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T14:00:00-00:00,2024-07-01T15:00:00-00:00,0,2024-07-01,8,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T22:00:00-00:00,2024-07-01T23:00:00-00:00,0,2024-07-01,16,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-02T02:00:00-00:00,2024-07-02T03:00:00-00:00,0,2024-07-01,20,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T21:00:00-00:00,2024-07-01T22:00:00-00:00,0,2024-07-01,15,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-02T00:00:00-00:00,2024-07-02T01:00:00-00:00,0,2024-07-01,18,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T08:00:00-00:00,2024-07-01T09:00:00-00:00,0,2024-07-01,2,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-07-01T08:00:00-00:00,2024-07-01T09:00:00-00:00,0,2024-07-01,2,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4964,ACTUAL,3
2024-07-01T22:00:00-00:00,2024-07-01T23:00:00-00:00,0,2024-07-01,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6839,ACTUAL,3
2024-07-01T14:00:00-00:00,2024-07-01T15:00:00-00:00,0,2024-07-01,8,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4720,ACTUAL,3
2024-07-02T01:00:00-00:00,2024-07-02T02:00:00-00:00,0,2024-07-01,19,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7004,ACTUAL,3
2024-07-01T12:00:00-00:00,2024-07-01T13:00:00-00:00,0,2024-07-01,6,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4644,ACTUAL,3
2024-07-01T18:00:00-00:00,2024-07-01T19:00:00-00:00,0,2024-07-01,12,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5542,ACTUAL,3
2024-07-01T21:00:00-00:00,2024-07-01T22:00:00-00:00,0,2024-07-01,15,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6537,ACTUAL,3
2024-07-02T03:00:00-00:00,2024-07-02T04:00:00-00:00,0,2024-07-01,21,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6854,ACTUAL,3
2024-07-02T05:00:00-00:00,2024-07-02T06:00:00-00:00,0,2024-07-01,23,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6029,ACTUAL,3
2024-07-02T06:00:00-00:00,2024-07-02T07:00:00-00:00,0,2024-07-01,24,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5604,ACTUAL,3
2024-07-01T15:00:00-00:00,2024-07-01T16:00:00-00:00,0,2024-07-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4816,ACTUAL,3
2024-07-01T16:00:00-00:00,2024-07-01T17:00:00-00:00,0,2024-07-01,10,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4989,ACTUAL,3
2024-07-01T17:00:00-00:00,2024-07-01T18:00:00-00:00,0,2024-07-01,11,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5241,ACTUAL,3
2024-07-01T20:00:00-00:00,2024-07-01T21:00:00-00:00,0,2024-07-01,14,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6055,ACTUAL,3
2024-07-01T23:00:00-00:00,2024-07-02T00:00:00-00:00,0,2024-07-01,17,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6832,ACTUAL,3
2024-07-02T02:00:00-00:00,2024-07-02T03:00:00-00:00,0,2024-07-01,20,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7029,ACTUAL,3
2024-07-01T09:00:00-00:00,2024-07-01T10:00:00-00:00,0,2024-07-01,3,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4759,ACTUAL,3
2024-07-01T10:00:00-00:00,2024-07-01T11:00:00-00:00,0,2024-07-01,4,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4609,ACTUAL,3
2024-07-02T00:00:00-00:00,2024-07-02T01:00:00-00:00,0,2024-07-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7011,ACTUAL,3
2024-07-01T07:00:00-00:00,2024-07-01T08:00:00-00:00,0,2024-07-01,1,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5277,ACTUAL,3
2024-07-01T11:00:00-00:00,2024-07-01T12:00:00-00:00,0,2024-07-01,5,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4595,ACTUAL,3
2024-07-01T19:00:00-00:00,2024-07-01T20:00:00-00:00,0,2024-07-01,13,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5755,ACTUAL,3
2024-07-02T04:00:00-00:00,2024-07-02T05:00:00-00:00,0,2024-07-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6493,ACTUAL,3
2024-07-01T13:00:00-00:00,2024-07-01T14:00:00-00:00,0,2024-07-01,7,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4678,ACTUAL,3
2024-07-01T10:00:00-00:00,2024-07-01T11:00:00-00:00,0,2024-07-01,4,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1892,ACTUAL,4
2024-07-02T00:00:00-00:00,2024-07-02T01:00:00-00:00,0,2024-07-01,18,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4135,ACTUAL,4
2024-07-01T18:00:00-00:00,2024-07-01T19:00:00-00:00,0,2024-07-01,12,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2940,ACTUAL,4
2024-07-02T01:00:00-00:00,2024-07-02T02:00:00-00:00,0,2024-07-01,19,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4090,ACTUAL,4
2024-07-02T05:00:00-00:00,2024-07-02T06:00:00-00:00,0,2024-07-01,23,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3083,ACTUAL,4
2024-07-01T07:00:00-00:00,2024-07-01T08:00:00-00:00,0,2024-07-01,1,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2299,ACTUAL,4
2024-07-01T08:00:00-00:00,2024-07-01T09:00:00-00:00,0,2024-07-01,2,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2104,ACTUAL,4
2024-07-01T11:00:00-00:00,2024-07-01T12:00:00-00:00,0,2024-07-01,5,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1870,ACTUAL,4
2024-07-01T12:00:00-00:00,2024-07-01T13:00:00-00:00,0,2024-07-01,6,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1905,ACTUAL,4
2024-07-01T13:00:00-00:00,2024-07-01T14:00:00-00:00,0,2024-07-01,7,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1997,ACTUAL,4
2024-07-01T17:00:00-00:00,2024-07-01T18:00:00-00:00,0,2024-07-01,11,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2681,ACTUAL,4
2024-07-02T02:00:00-00:00,2024-07-02T03:00:00-00:00,0,2024-07-01,20,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3938,ACTUAL,4
2024-07-02T06:00:00-00:00,2024-07-02T07:00:00-00:00,0,2024-07-01,24,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2758,ACTUAL,4
2024-07-01T09:00:00-00:00,2024-07-01T10:00:00-00:00,0,2024-07-01,3,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1968,ACTUAL,4
2024-07-01T16:00:00-00:00,2024-07-01T17:00:00-00:00,0,2024-07-01,10,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2467,ACTUAL,4
2024-07-01T19:00:00-00:00,2024-07-01T20:00:00-00:00,0,2024-07-01,13,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3206,ACTUAL,4
2024-07-02T04:00:00-00:00,2024-07-02T05:00:00-00:00,0,2024-07-01,22,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3461,ACTUAL,4
2024-07-01T20:00:00-00:00,2024-07-01T21:00:00-00:00,0,2024-07-01,14,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3491,ACTUAL,4
2024-07-01T22:00:00-00:00,2024-07-01T23:00:00-00:00,0,2024-07-01,16,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3989,ACTUAL,4
2024-07-01T14:00:00-00:00,2024-07-01T15:00:00-00:00,0,2024-07-01,8,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2129,ACTUAL,4
2024-07-01T15:00:00-00:00,2024-07-01T16:00:00-00:00,0,2024-07-01,9,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2296,ACTUAL,4
2024-07-02T03:00:00-00:00,2024-07-02T04:00:00-00:00,0,2024-07-01,21,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3707,ACTUAL,4
2024-07-01T23:00:00-00:00,2024-07-02T00:00:00-00:00,0,2024-07-01,17,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4126,ACTUAL,4
2024-07-01T21:00:00-00:00,2024-07-01T22:00:00-00:00,0,2024-07-01,15,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3764,ACTUAL,4
2024-07-01T22:00:00-00:00,2024-07-01T23:00:00-00:00,0,2024-07-01,16,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,563,ACTUAL,5
2024-07-01T20:00:00-00:00,2024-07-01T21:00:00-00:00,0,2024-07-01,14,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,497,ACTUAL,5
2024-07-01T23:00:00-00:00,2024-07-02T00:00:00-00:00,0,2024-07-01,17,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,587,ACTUAL,5
2024-07-01T12:00:00-00:00,2024-07-01T13:00:00-00:00,0,2024-07-01,6,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,275,ACTUAL,5
2024-07-01T14:00:00-00:00,2024-07-01T15:00:00-00:00,0,2024-07-01,8,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,308,ACTUAL,5
2024-07-01T16:00:00-00:00,2024-07-01T17:00:00-00:00,0,2024-07-01,10,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,358,ACTUAL,5
2024-07-01T18:00:00-00:00,2024-07-01T19:00:00-00:00,0,2024-07-01,12,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,423,ACTUAL,5
2024-07-01T21:00:00-00:00,2024-07-01T22:00:00-00:00,0,2024-07-01,15,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,532,ACTUAL,5
2024-07-02T01:00:00-00:00,2024-07-02T02:00:00-00:00,0,2024-07-01,19,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,598,ACTUAL,5
