OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2023-04-01,13,0,2023-04-01T19:00:00-00:00,2023-04-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,520.08555,ACTUAL,1
2023-04-01,15,0,2023-04-01T21:00:00-00:00,2023-04-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,437.14651,ACTUAL,1
2023-04-01,12,0,2023-04-01T18:00:00-00:00,2023-04-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,723.9403,ACTUAL,1
2023-04-01,19,0,2023-04-02T01:00:00-00:00,2023-04-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,527.84156,ACTUAL,1
2023-04-01,11,0,2023-04-01T17:00:00-00:00,2023-04-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,694.38515,ACTUAL,1
2023-04-01,24,0,2023-04-02T06:00:00-00:00,2023-04-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.05436,ACTUAL,1
2023-04-01,10,0,2023-04-01T16:00:00-00:00,2023-04-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,655.24721,ACTUAL,1
2023-04-01,16,0,2023-04-01T22:00:00-00:00,2023-04-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,546.8066,ACTUAL,1
2023-04-01,9,0,2023-04-01T15:00:00-00:00,2023-04-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,632.50852,ACTUAL,1
2023-04-01,23,0,2023-04-02T05:00:00-00:00,2023-04-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,2.82337,ACTUAL,1
